Finance Experiences,PHCs-Experiences,KYP-Knitting and Stitchings,KYP-Beauty,"KYP-Watching(TV serials,youtube)",KYP-Home decor,KYP,About language,Daily life
आपके स्थानीय बैंक के साथ आपका अनुभव कैसा रहा है? क्या आपको वह सहायता मिली जिसकी आपको आवश्यकता थी? कृपया अपने विचार साझा करें.,आप जांच या उपचार के लिए अपने गांव के सार्वजनिक स्वास्थ्य केंद्र में कितनी बार जाते हैं? क्या आप किसी विशिष्ट यात्रा का वर्णन कर सकते हैं?,आपने बुनाई और सिलाई कब शुरू की और इसमें आपकी रुचि कैसे विकसित हुई? इसे करते रहने के लिए आपकी प्रेरणा क्या थी?,आपने ब्यूटी पार्लर का काम कब शुरू किया और इसमें आपकी रुचि कैसे विकसित हुई? इसे करते रहने के लिए आपकी प्रेरणा क्या थी?,आपने टीवी सीरियल देखना कब शुरू किया और इसमें आपकी रुचि कैसे विकसित हुई? कौन-कौन से चैनल और शो आपके पसंदीदा हैं?,आपने अपने घर की सजावट में रुचि कब और कैसे विकसित की? आपको इसके लिए प्रेरणा कहां से मिली?,हमें अपने बारे में कुछ बताएं?,"आपके पसंदीदा हिंदी शब्द या वाक्यांश कौन से हैं और क्यों हैं? क्या आप इस बात पर गर्व महसूस करते/करती हैं कि हिंदी आपकी मातृभाषा है, और क्यों?","आपके गाँव में घर बनाते समय किन बातों का ध्यान रखना चाहिए? (जलवायु, वन्य जीवन, आपका व्यवसाय, परिवार के सदस्यों की विशेष आवश्यकताएं, रसोई, शौचालय, वास्तु, पूजा स्थल से संबंधित विचार) क्या आप 'घरकुल योजना' के बारे में जानते हैं? गाँव में किस प्रकार के घर देखे जाते हैं? हाल के वर्षों में यह कैसे बदल गया है?"
आपने अपना बैंक खाता कैसे खोला? आपको किन दस्तावेज़ों की आवश्यकता थी? क्या यह आसान था या मुश्किल?,"आप आमतौर पर स्वास्थ्य केंद्र पर किस प्रकार की सेवाएँ चाहते हैं? उदाहरण के लिए, क्या आप नियमित जांच, टीकाकरण या किसी विशिष्ट उपचार के लिए वहां जाते हैं?",क्या आप कोई ऐसी पोशाक के बारे में कोई कहानी शेयर कर सकते/सकती हैं जिसे आपने बुना या सिला है और जो तैयार करना काफी मुश्किल था या उसे तैयार करने में आपको काफी संतुष्टि मिली? उस पोशाक को तैयार करने में सबसे मुश्किल हिस्सा क्या है?,क्या आप कोई ऐसी कहानी शेयर कर सकते/सकती हैं जहां आपने किसी ग्राहक की विशेष रूप से अच्छी सेवा दी हो? उस सेवा में सबसे मुश्किल हिस्सा क्या था?,क्या आप कोई ऐसी कहानी शेयर कर सकते/सकती हैं जहां किसी टीवी सीरियल के एपिसोड ने आपको बहुत प्रभावित किया हो या आपकी जिंदगी पर असर डाला हो?,"क्या आप अपने घर की सजावट के लिए खुद से कोई क्राफ्ट या हस्तशिल्प बनाते/बनाती हैं? अगर हां, तो कौन-कौन से और कैसे?",क्या आप मुझे हाल ही में हुई किसी घटना या न्यूज़ के बारे में बता सकते/सकती हैं जो आपको दिलचस्प लगी हो?,"आपने हिंदी कैसे सीखी, और इस भाषा का आपका अनुभव कैसा रहा है?",गांव में बिजली का उपयोग किन विभिन्न चीजों के लिए किया जा सकता है? खेती में कौन सी चीजें बिजली पर निर्भर हैं?
"आप किन बैंकिंग सेवाओं का उपयोग करते हैं? क्या आपके पास बचत खाता, चालू खाता है, या आप ऋण लेते हैं?","क्या आप स्वास्थ्य केंद्र के कर्मचारियों के साथ अपना अनुभव साझा कर सकते हैं? क्या वे आपकी आवश्यकताओं के प्रति सहायक, सम्मानजनक और चौकस हैं? क्या आप एक उदाहरण दे सकते हैं?","आप जिस कपड़े को बनाना चाहते/चाहती हैं, उसके डिजाइन और पैटर्न आप कैसे चुनते/चुनती हैं? यह तय करने में आपकी मदद कौन करता है (ऑनलाइन/ग्राहक/दोस्त)? आपके आइडिया और क्रिएटिविटी का स्रोत क्या है? क्या आपके कोई पसंदीदा ब्रांड या ऑनलाइन स्रोत हैं जिनसे आप प्रेरणा लेते/लेती हैं?","आप जिस प्रकार का ब्यूटी ट्रीटमेंट करना चाहती हैं, उसके तरीके और उत्पाद आप कैसे चुनते/चुनती हैं? यह तय करने में आपकी मदद कौन करता है (ऑनलाइन/ग्राहक/दोस्त)? आपके आइडिया और क्रिएटिविटी का स्रोत क्या है? क्या आपके कोई पसंदीदा ब्रांड या ऑनलाइन स्रोत हैं जिनसे आप प्रेरणा लेते/लेती हैं?",आप अपने टीवी देखने का समय कैसे निर्धारित करते/करती हैं? क्या आपके पास कोई विशेष समय होता है जब आप टीवी सीरियल देखना पसंद करते/करती हैं?,"क्या आप अपने घर की सजावट के लिए स्थानीय बाजार से चीजें खरीदते/खरीदती हैं? अगर हां, तो किन-किन प्रकार की चीजों की खरीदारी करते/करती हैं?",क्या आप हमें अपने परिवार और दोस्तों के बारे में बता सकते/सकती हैं?,क्या इस हिंदी के आपके कोई पसंदीदा लेखक या कवि हैं? आप उन्हें क्यों पसंद करते/करती हैं और क्या आप हमें उनकी रचनाओं के बारे में बता सकते/सकती हैं?,क्या आप बिजली के कुछ खतरों से अवगत हैं? क्या आप समझा सकते हैं कि वे क्या हैं और उनसे कैसे बचा जाए?
आप पैसे कैसे बचाते हैं? क्या आप इसे बैंक में रखते हैं या कहीं और?,क्या आपको स्वास्थ्य केंद्र पर सेवाओं तक पहुँचने में किसी कठिनाई या चुनौती का सामना करना पड़ा है? ये चुनौतियाँ क्या थीं और आपने उनका प्रबंधन कैसे किया?,आपको कौन सी तकनीकें या स्टिच सबसे मुश्किल या संतोषजनक लगती हैं? आपके लिए अब तक सबसे मुश्किल पोशाक कौन सी रही है? उसे तैयार करने में कितना समय लगा?,आपको कौन से ब्यूटी ट्रीटमेंट्स सबसे मुश्किल या संतोषजनक लगते हैं? आपके लिए अब तक का सबसे मुश्किल ब्यूटी ट्रीटमेंट कौन सा रहा है? उसे तैयार करने में कितना समय लगा?,आपको कौन से टीवी सीरियल के किरदार और उनकी कहानियां सबसे ज्यादा पसंद आती हैं? क्यों?,"आपके घर की सजावट के लिए कौन-कौन से तत्व सबसे महत्वपूर्ण हैं? जैसे रंग, फर्नीचर, सजावट के सामान आदि।",क्या आप मुझे अपनी नौकरी या पढ़ाई के बारे में कुछ बता सकते/सकतीहैं?,"हिंदी भाषा की कुछ अनूठी विशेषताएं क्या हैं जो आपको दिलचस्प लगती हैं? hints - अंग्रेजी में योगदानकर्ता, अंग्रेजी की तुलना में अधिक अक्षर, एकता की भाषा, विभिन्न प्रकार",आपके पास कितने घंटे बिजली है? बिजली कटौती के कारण विभिन्न मौसमों में आपका जीवन किस प्रकार प्रभावित होता है?
क्या आपने पैसे भेजने के लिए मोबाइल बैंकिंग या UPI का उपयोग किया है? आपके लिए वह अनुभव कैसा था?,आप स्वास्थ्य केंद्र में साफ़-सफ़ाई और सुविधाओं का मूल्यांकन कैसे करेंगे? क्या कोई विशिष्ट चीज़ है जिसमें आपको लगता है कि सुधार की आवश्यकता है?,हमें अपने क्षेत्र के कोई विशिष्ट बुनाई-सिलाई पैटर्न या कुछ अनूठी तकनीकों के बारे में बताएं। क्या आपने कोई पारंपरिक पोशाक बनाने की कोशिश की है?,हमें अपने क्षेत्र के किसी विशिष्ट ब्यूटी टिप्स या तकनीकों के बारे में बताएं। क्या आपने कोई पारंपरिक ब्यूटी ट्रीटमेंट आजमाया है?,"आप अपने दोस्तों और परिवार के साथ टीवी सीरियल्स पर चर्चा करते/करती हैं? अगर हां, तो किस प्रकार की चर्चाएं होती हैं?","आप अपने घर की सजावट के लिए आइडियाज और प्रेरणा कहां से प्राप्त करते/करती हैं? क्या आप इंटरनेट, मैगज़ीन या किसी अन्य स्रोत का उपयोग करते/करती हैं?",क्या आप हमें कुछ ऐसे प्रमुख टेक्नोलॉजिकल बदलावों के बारे में बता सकते/सकती हैं जो आपके जीवन-काल में हुए हैं? इन बदलावों ने आपके जीवन और आपके कार्यस्थल को कैसे प्रभावित किया है,"समय के साथ हिंदी भाषा कैसे विकसित हुई है, और आपने इसमें क्या बदलाव देखे हैं?","क्या आपकी आजीविका बिजली पर निर्भर है? यदि हां, तो बिजली कटौती के दौरान यह कैसे प्रभावित होता है? बिजली कटौती में रोशनी के अन्य विकल्प क्या हैं? क्या यहां लोगों के पास इनवर्टर हैं?"
क्या आपको लगता है कि आप बैंकिंग और वित्त के बारे में पर्याप्त जानते हैं? क्या आपने किसी कक्षा में भाग लिया है या जानकारी प्राप्त की है?,क्या आप स्वास्थ्य केंद्र से आवश्यक दवाएं और पूरक प्राप्त करने में सक्षम हैं? क्या कभी ऐसा हुआ है जब कुछ दवाएँ अनुपलब्ध थीं? आपने उन स्थितियों को कैसे संभाला?,आपके पास बुनाई और सिलाई के लिए जरूरी कौन सा सामान/उपकरण/धागे/ऊन/मशीनें है? इस काम में और बेहतर बनने के लिए आप और क्या खरीदना चाहते/चाहती हैं?,आपके पास ब्यूटी पार्लर के लिए जरूरी कौन सा सामान/उपकरण/प्रोडक्ट्स हैं? इस काम में और बेहतर बनने के लिए आप और क्या खरीदना चाहते/चाहती हैं?,आप टीवी सीरियल्स के नए एपिसोड और सीजन के बारे में जानकारी कैसे प्राप्त करते/करती हैं? क्या आप सोशल मीडिया या किसी अन्य स्रोत का उपयोग करते/करती हैं?,"क्या आप अपने घर की सजावट के लिए कोई विशेष थीम या स्टाइल पसंद करते/करती हैं? अगर हां, तो कौन सा और क्यों?","क्या आपकी कोई पसंदीदा किताब, फिल्म या टीवी शो है? आप को इसके बारे में क्या पसंद है?",क्या आपकी कोई पसंदीदा हिंदी कहावतें या मुहावरे हैं? और ये आपको क्यों पसंद हैं? or क्या यह आपके जीवन को किसी भी तरह से प्रभावित किया है?,"आपकी रसोई में बिजली के उपकरण कौन से हैं? अनुभव पुराने दिनों से कैसे भिन्न है जब ऐसे उपकरण उपलब्ध नहीं थे? (मिक्सर, ग्राइंडर, गैस सिलेंडर, ओवन)"
क्या आपको बैंक सेवाओं का उपयोग करते समय किसी समस्या का सामना करना पड़ा है? वे समस्याएँ क्या थीं और आपने उनसे कैसे निपटा?,"क्या आपको कभी स्वास्थ्य केंद्र में कोई स्वास्थ्य शिक्षा सत्र मिला है? यदि हां, तो किन विषयों को शामिल किया गया और आपने उन्हें कितना उपयोगी पाया?",क्या आपने कभी किसी को बुनना और सिलाई करना सिखाया है या आपने किसी और से बुनना या सिलाई करना सीखा है? क्या आप इस क्राफ्ट को सिखाने या सीखने के बारे में कोई यादगार पल या सुझाव शेयर कर सकते/सकती हैं?,क्या आपने कभी किसी को ब्यूटी ट्रीटमेंट्स सिखाया है या आपने किसी और से सीखा है? क्या आप इस क्राफ्ट को सिखाने या सीखने के बारे में कोई यादगार पल या सुझाव शेयर कर सकते/सकती हैं?,क्या आपके पास कोई विशेष शो या चैनल है जिसे आप धार्मिक या आध्यात्मिक कारणों से देखते/देखती हैं? यह शो या चैनल आपको क्या सिखाता है?,आपके घर की सजावट के लिए आपके पास कौन-कौन से क्राफ्ट और हस्तशिल्प के सामान हैं? क्या आपको इनमें से किसी विशेष सामान के साथ काम करने में सबसे ज्यादा मजा आता है?,"क्या आपका कोई व्यक्तिगत लक्ष्य या आकांक्षाएं हैं जिन्हें प्राप्त करने के लिए आप काम कर रहे/रही हैं, और उन लक्ष्यों को प्राप्त करने के लिए आपको क्या प्रेरित करता है?",आपको क्या लगता है कि अन्य भाषाओं की तुलना में हिंदी भाषा कैसी है?,आपके गाँव में पानी के विभिन्न स्रोत कौन-कौन से हैं? क्या ये सभी स्रोत वर्ष भर उपलब्ध हैं?
"ऋण या बीमा की तलाश करते समय, आप कैसे तय करते हैं कि किसे चुनना है? आपके अनुसार क्या महत्वपूर्ण है?",स्वास्थ्य केंद्र में प्रसवपूर्व देखभाल का आपका अनुभव कैसा था? क्या आपको लगा कि आपको पर्याप्त देखभाल और जानकारी मिली है? कृपया विस्तार से बताएं।,आप अपनी बुनाई को अन्य जिम्मेदारियों और रुचियों के साथ कैसे बैलेंस करते/करती हैं? क्या आपकी बुनाई और सिलाई के लिए समय निकालने या बुनाई के प्रोजेक्ट पर काम करने के लिए प्रेरित रहने की कोई तकनीक है?,आप अपने ब्यूटी पार्लर को अन्य जिम्मेदारियों और रुचियों के साथ कैसे बैलेंस करते/करती हैं? क्या आपकी पार्लर के लिए समय निकालने या ब्यूटी प्रोजेक्ट पर काम करने के लिए प्रेरित रहने की कोई तकनीक है?,"क्या आपने कभी किसी टीवी सीरियल के सेट या शूटिंग लोकेशन पर जाने की इच्छा जताई है? अगर हां, तो क्यों और कौन सा शो?","क्या आप अपने घर की सजावट के लिए किसी खास मौसम या त्यौहार के अनुसार परिवर्तन करते/करती हैं? अगर हां, तो कैसे?","क्या आपको पालतु जानवर पसंद हैं? यदि हाँ, तो क्यों पसंद हैं और आपके पास कौन-कौन से पालतू जानवर हैं या आप रखना चाहेंगे/चाहेंगी? यदि नहीं, तो आपको पालतू जानवर क्यों नहीं पसंद हैं?",क्या आपको कभी हिंदी से या हिंदी में कोई अनुवाद करना पड़ा है? यह करने का अनुभव कैसा रहा था?,क्या आपको नल का पानी मिलता है? अगर आपको नल का पानी मिल जाए तो कैसा है या आपका जीवन कैसे अलग होगा? क्या पानी साफ है?
क्या आप अपने गांव में किसी बचत समूह का हिस्सा हैं? इससे आपको पैसे बचाने में कैसे मदद मिली है?,"क्या आपने किसी प्रसवपूर्व कक्षा में भाग लिया? यदि हां, तो आपने इन कक्षाओं में क्या सीखा और इससे आपको गर्भावस्था के दौरान कैसे मदद मिली?",ऐसी कौन सी चीजें हैं जो आप सबसे ज्यादा बुनती या सिलती हैं? क्यों? आप किस प्रकार का कपड़ा बनाना पसंद करती हैं? क्या कोई अनूठी तकनीक है जिसे आप तेजी से और बेहतर काम करने के लिए प्रयोग में लाती हैं?,ऐसी कौन सी ब्यूटी सर्विसेज हैं जो आप सबसे ज्यादा देती हैं? क्यों? आप किस प्रकार का ब्यूटी ट्रीटमेंट करना पसंद करती हैं? क्या कोई अनूठी तकनीक है जिसे आप तेजी से और बेहतर काम करने के लिए प्रयोग में लाती हैं?,आप अपने पसंदीदा टीवी सीरियल्स के लिए अपने दिनचर्या में कैसे समय निकालते/निकालती हैं? क्या आपको इसके लिए कुछ विशेष योजनाएं बनानी पड़ती हैं?,"क्या आपने कभी अपने दोस्तों या परिवार के सदस्यों के लिए कोई सजावटी वस्तु बनाई है? अगर हां, तो क्या और कैसे?",क्या आपके कोई भाई-बहन हैं और आप किन मामलों में हैं उनकी तरह हैं और किन मामलों में अलग हैं?,हिंदी भाषा ने आपकी संस्कृति और पहचान को कैसे प्रभावित किया है?,आप कुएं से पानी कैसे निकालते हैं? क्या आपके पास कोई विचार है कि कोई इसके लिए इलेक्ट्रिक मोटर का उपयोग कैसे कर सकता है?
"पैसे बचाने के लिए आपके लक्ष्य क्या हैं? क्या आप किसी विशेष चीज़ के लिए बचत कर रहे हैं, जैसे शिक्षा या घर?",गर्भावस्था के दौरान आपने कितनी बार जांच करायी? क्या ये जाँचें पूरी तरह से की गईं और क्या आपको आवश्यक मार्गदर्शन और सहायता प्राप्त हुई?,क्या आपका कभी कोई काम खराब हुआ है या बुनाई और सिलाई करते समय किसी समस्या का सामना करना पड़ा है? आपने इसे कैसे दूर किया और आपने इस अनुभव से क्या सीखा?,क्या आपका कभी कोई काम खराब हुआ है या ब्यूटी ट्रीटमेंट करते समय किसी समस्या का सामना करना पड़ा है? आपने इसे कैसे दूर किया और आपने इस अनुभव से क्या सीखा?,"क्या आपके पास कोई पसंदीदा टीवी सीरियल है जिसे आप बार-बार देखते/देखती हैं? अगर हां, तो कौन सा और क्यों?","आप अपने घर की सजावट में प्राकृतिक तत्वों का उपयोग कैसे करते/करती हैं? जैसे कि पौधे, फूल, आदि।",क्या आपमें कोई विशेष प्रतिभा या कौशल है? वो क्या हैं और आपने उन्हें कैसे विकसित किया?,क्या आपको लगता है कि हिंदी भाषा को मीडिया और शिक्षा प्रणाली में पर्याप्त रूप से प्रयोग में लाया गया है?,पूरे दिन के लिए आपको किन अलग-अलग चीजों के लिए पानी की आवश्यकता होती है?
आप बैंकिंग के लिए मोबाइल फोन का उपयोग करने में कितने सहज हैं? क्या आपको यह मददगार लगता है?,क्या आपको गर्भावस्था के दौरान पोषण और आहार के बारे में जानकारी मिली? आपको किस तरह की सलाह दी गई और आपने इसे कैसे लागू किया?,"क्या आपकी कोई पसंदीदा बुनाई और सिलाई की किताब, यूट्यूब चैनल, सोशल मीडिया अकाउंट आदि है? आपने उनसे क्या सीखा? आप समुदाय में अपने कौशल का विज्ञापन कैसे करते/करती हैं?","क्या आपकी कोई पसंदीदा ब्यूटी बुक, यूट्यूब चैनल, सोशल मीडिया अकाउंट आदि है? आपने उनसे क्या सीखा? आप समुदाय में अपने कौशल का विज्ञापन कैसे करते/करती हैं?","क्या टीवी सीरियल देखने के बाद आपने कभी किसी विशेष संदेश या नैतिकता को अपने जीवन में लागू किया है? अगर हां, तो कैसे?",क्या आपने कभी किसी हस्तशिल्प मेले या कार्यशाला में हिस्सा लिया है? इस अनुभव के बारे में बताएं और आपने वहां से क्या सीखा?,"कार्यस्थल पर आप संघर्षपूर्ण स्थितियों या मुश्किल परिस्थितियों से कैसे निपटते/निपटती हैं? (hint - समय सीमा को पूरा करना, सहकर्मियों के साथ तालमेल, पहचान)","आपके अनुसार हिंदी भाषा के सामने आधुनिक दुनिया में क्या चुनौतियाँ हैं? hint - अद्वितीय उच्चारण, शब्दावली के विभिन्न स्रोत, विभिन्न स्क्रिप्ट",पानी को छानने और शुद्ध करने के लिए आप कौन-कौन से तरीके अपनाते हैं? कोई घरेलू उपाय?
आप अपने क्षेत्र में बैंकिंग सेवाओं में क्या बदलाव देखना चाहेंगे? क्या ऐसी चीज़ें हैं जो आपको लगता है कि गायब हैं?,स्वास्थ्य केंद्र में प्रसव के दौरान आपको किस प्रकार की सहायता मिली? क्या कर्मचारी सहयोगी और जानकार थे? क्या आप अपना डिलीवरी अनुभव साझा कर सकते हैं?,"हाथ से बने कपड़े बाज़ार में बने रेडीमेड कपड़ों से किस प्रकार अलग होते हैं? भले ही रेडीमेड कपड़ों का बहुत बड़ा बाजार है, फिर भी लोग बुने और सिले हुए कपड़े क्यों खरीदना पसंद करते हैं?","ब्यूटी पार्लर में हाथ से किए गए ट्रीटमेंट्स बाजार में बने रेडीमेड प्रोडक्ट्स से किस प्रकार अलग होते हैं? भले ही रेडीमेड प्रोडक्ट्स का बहुत बड़ा बाजार है, फिर भी लोग हाथ से किए गए ट्रीटमेंट्स क्यों पसंद करते हैं?","क्या आपको लगता है कि टीवी सीरियल्स आपके मूड और भावनाओं को प्रभावित करते हैं? अगर हां, तो किस प्रकार?",आप अपने घर की सजावट को अन्य जिम्मेदारियों और रुचियों के साथ कैसे संतुलित करते/करती हैं?,मनुष्य हमेशा अपनी जड़ों से जुड़ना चाहते हैं। आपको अपनी जड़ों और उन पलों के बारे में क्या याद है जिन्हें आप आज भी संजोए रखे हैं?,"आपके अनुसार भविष्य में हिंदी भाषा का प्रचार और संरक्षण कैसे किया जा सकता है?(स्कूल, मीडिया और काम में अनिवार्य उपयोग)",क्या आपके गाँव में कभी पानी की भारी कमी या सूखा पड़ा है? इसने गाँव के जीवन को कैसे प्रभावित किया?
