Finance Experiences,PHCs-Experiences,KYP-Knitting and Stitchings,KYP-Beauty,"KYP-Watching(TV serials,youtube)",KYP-Home decor,KYP,About language,Daily life
आप ऑनलाइन बैंकिंग का उपयोग करने के बारे में कैसा महसूस करते हैं? क्या यह बैंक जाने से आसान या कठिन है?,आपने गर्भावस्था की सामान्य असुविधाओं और स्वास्थ्य समस्याओं का प्रबंधन कैसे किया? क्या आपको स्वास्थ्य केंद्र या समुदाय के सदस्यों से कोई सलाह या उपाय प्राप्त हुआ?,,क्या आपने कभी किसी ब्यूटी कॉम्पटीशन या कार्यशाला में हिस्सा लिया है? इस अनुभव के बारे में बताएं और आपने वहां से क्या सीखा?,,,काम के अलावा आपके क्या शौक और रुचियाँ हैं?,हिंदी भाषा आपके राज्य की शिक्षा प्रणाली में क्या भूमिका निभाती है?,सर्दी-जुकाम ठीक करने के लिए आपके गाँव में प्रचलित कुछ घरेलू नुस्खे क्या हैं?
"क्या आपने डिजिटल इंडिया जैसे डिजिटल बैंकिंग में मदद करने वाले सरकारी कार्यक्रमों के बारे में सुना है? उन्होंने आपके दैनिक बैंकिंग अनुभवों को कैसे प्रभावित किया है? उदाहरण: ""मैंने एक सरकारी अभियान के माध्यम से आसानी से बैंक खाता खोलने के बारे में सीखा।""",आपकी गर्भावस्था और शिशु देखभाल में पारंपरिक प्रथाओं और मान्यताओं ने क्या भूमिका निभाई? क्या आप अपनाई गई कोई विशिष्ट प्रथाएं और उनका प्रभाव साझा कर सकते हैं?,,ब्यूटी इंडस्ट्री में नए ट्रेंड्स और तकनीकों के बारे में जानने के लिए आप कौन-कौन से स्रोतों का उपयोग करते/करती हैं? क्या आप किसी प्रोफेशनल ट्रेनिंग या कोर्स में हिस्सा लिया है?,,,"आप पैसा कमाने के लिए क्या काम करते/करती हैं, और आपने यह करियर चुनने का निर्णय कैसे लिया?","समय के साथ, विशेष रूप से अन्य भाषाओं और संस्कृतियों के प्रभाव से हिंदी भाषा के इस्तेमाल में क्या परिवर्तन आया है?",सिरदर्द ठीक करने के लिए आपके गाँव में प्रचलित कुछ घरेलू उपचार क्या हैं?
"क्या आप मोबाइल बैंकिंग ऐप्स का उपयोग करते हैं? उन्होंने आपके धन प्रबंधन को कैसे बदल दिया है? उदाहरण: ""ऐप का उपयोग करने से मेरा समय बचता है, इसलिए मुझे बैंक तक जाने की ज़रूरत नहीं है।""",आप अपनी गर्भावस्था और प्रारंभिक शिशु देखभाल के दौरान कौन से संसाधन या जानकारी चाहती हैं? आपको क्या लगता है कि इन संसाधनों ने आपकी कैसे मदद की होगी?,,आप अपने ब्यूटी पार्लर में ग्राहकों के साथ संबंध कैसे बनाए रखते/रखती हैं? क्या आपके पास ग्राहकों के फीडबैक लेने और उन्हें सुधारने के लिए कोई प्रक्रिया है?,,,आपके अनुसार आपकी सबसे बड़ी ताकत क्या है और कमजोरी क्या हैं?,"आज की दुनिया में हिंदी भाषा बोलने वाले लोगों को किन चुनौतियों का सामना करना पड़ता है? (Hints - अंग्रेजी भाषा का बढता प्रभाव, हिंदी साहित्य मैं होती हुई कमी ).",गले की खराश को ठीक करने के लिए आपके गाँव में प्रचलित कुछ घरेलू उपचार क्या हैं?
"क्या आपके लिए बैंकिंग ऐप्स को अपनी स्थानीय भाषा में समझना आसान है? क्या आप कोई विशिष्ट विशेषताएँ साझा कर सकते हैं जो आपकी सहायता करें? उदाहरण: ""ऐप मेरी भाषा में है, इसलिए मैं आसानी से पैसे ट्रांसफर करने का तरीका जान सकता हूं।""","क्या आपने अपने स्वास्थ्य केंद्र में कभी मानसिक स्वास्थ्य सेवाओं का उपयोग किया है? यदि हां, तो आपका अनुभव कैसा था?",,क्या आपको अपने ब्यूटी पार्लर के काम के दौरान किसी चुनौती का सामना करना पड़ा है? आपने इस चुनौती को कैसे पार किया और इससे क्या सीखा?,,,आपके जीवन में किस चीज़ का सबसे ज्यादा महत्व है?,"हिंदी भाषा आपके राज्य की क्षेत्रीय बोलियों से कैसे भिन्न है? (Hints - बोलने का अलग तरीका, दूसरी भाषा अलग अलग शब्द )",कीड़े के काटने (जैसे मधुमक्खी के डंक) को ठीक करने के लिए आपके गाँव में लोकप्रिय कुछ घरेलू उपचार क्या हैं?
"क्या आपने किसी वित्तीय साक्षरता कार्यक्रम में भाग लिया है? आपने कौन से कौशल हासिल किए जिससे आपको अपने वित्त को बेहतर ढंग से प्रबंधित करने में मदद मिली? उदाहरण: ""मैंने सीखा कि अपने घरेलू खर्चों के लिए बजट कैसे बनाया जाता है।""",क्या स्वास्थ्य केंद्र पर बच्चों के विकास के बारे में कोई विशेष जानकारी या सेवाएं प्रदान की जाती हैं? क्या आपने उनका लाभ उठाया है?,,आपके ब्यूटी पार्लर के लिए आपकी दीर्घकालिक योजनाएं और लक्ष्य क्या हैं? आप अपने व्यवसाय को और बेहतर बनाने के लिए क्या कदम उठाने की योजना बना रहे/रही हैं?,,,"आपका पसंदीदा मौसम कौन सा है, और आपको यह क्यों पसंद है?",आपके राज्य की समृद्ध सांस्कृतिक विरासत को बचाए रखने और प्रमोट करने में हिंदी भाषा की क्या भूमिका है?,कमर दर्द के इलाज के लिए आपके गाँव में प्रचलित कुछ घरेलू उपचार क्या हैं?
"आपके गांव में इंटरनेट कनेक्शन ऑनलाइन बैंकिंग का उपयोग करने की आपकी क्षमता को कैसे प्रभावित कर रहा है? क्या आप किसी विशिष्ट चुनौती का उदाहरण दे सकते हैं? उदाहरण: ""कभी-कभी, इंटरनेट धीमा होता है, और मैं अपने बैंक खाते में लॉग इन नहीं कर पाता।""",क्या आपके स्वास्थ्य केंद्र में घरेलू हिंसा या महिलाओं के खिलाफ हिंसा के मामलों के लिए कोई सहायता उपलब्ध है? क्या आपने कभी इसका उपयोग किया है?,,आपने अपने ब्यूटी पार्लर के काम के दौरान ग्राहकों की कौन-कौन सी पसंद और नापसंद को देखा है? आप इन पसंद और नापसंद को कैसे मैनेज करते/करती हैं?,,,आपके होमटाउन या शहर के बारे में सबसे ज़्यादा क्या पसंद है और क्यों?,"रेडियो, टेलीविज़न और प्रिंट जैसे मीडिया में हिंदी भाषा का उपयोग कैसे किया जाता है?",घुटने के दर्द को ठीक करने के लिए आपके गाँव में प्रचलित कुछ घरेलू उपचार क्या हैं?
"क्या आप बैंकिंग ऐप्स का उपयोग करने में सहज महसूस करते हैं? आपको किन चुनौतियों का सामना करना पड़ता है? उदाहरण: ""मुझे अपना पासवर्ड याद रखने में परेशानी होती है और कभी-कभी लॉक हो जाता है।""",स्वास्थ्य केंद्र पर महिला स्वास्थ्य से संबंधित किसी विशेष कार्यक्रम या अभियान के बारे में आपको जानकारी है? आपने इनमें से किसी में भाग लिया है?,,क्या आपके ब्यूटी पार्लर में कोई विशेष ट्रीटमेंट या सेवा है जो आपके ग्राहकों के बीच बहुत लोकप्रिय है? इस सेवा के बारे में विस्तार से बताएं।,,,"आपको किस तरह का भोजन सबसे ज्यादा पसंद है, और आप इसे कहाँ खाना पसंद करते/करती हैं?","हिंदी भाषा की कुछ अनोखी विशेषताएँ क्या हैं, जैसे कि, इसकी व्याकरण और उच्चारण? (Hints - बोलने का तरीका, उसको लिखने का तरीका ).",कब्ज दूर करने के लिए आपके गाँव में प्रचलित कुछ घरेलू उपचार क्या हैं?
"आपके परिवार और दोस्तों ने आपको डिजिटल बैंकिंग को समझने में कैसे मदद की है? क्या आप कोई विशिष्ट उदाहरण साझा कर सकते हैं? उदाहरण: ""मेरे भाई ने मुझे बताया कि यूपीआई के माध्यम से पैसे कैसे भेजें।""",क्या आपको स्वास्थ्य केंद्र में किसी विशिष्ट समय पर लंबे समय तक इंतजार करना पड़ता है? इन परिस्थितियों का प्रबंधन करने के लिए आपने क्या किया है?,,क्या आपने अपने ब्यूटी पार्लर के काम के दौरान किसी खास व्यक्ति से प्रेरणा ली है? इस व्यक्ति ने आपके काम को कैसे प्रभावित किया है?,,,आपकी सबसे गौरवपूर्ण उपलब्धि क्या है? और यह सबसे गर्व क्यों हैं?,"स्थानीय अर्थव्यवस्था, जैसे व्यापार और कॉमर्स में हिंदी भाषा का उपयोग कैसे किया जाता है? (Hints - रोजमरा की व्यवहारिक गतिविधियो मैं हिंदी भाषा का उपयोग).",दस्त ठीक करने के लिए आपके गाँव में प्रचलित कुछ घरेलू उपचार क्या हैं?
"क्या आप ऑनलाइन बैंकिंग का उपयोग करते समय सुरक्षा को लेकर चिंतित हैं? आप अपनी सुरक्षा के लिए क्या कदम उठाते हैं? उदाहरण: ""सुरक्षित रहने के लिए मैं अपना पिन किसी के साथ साझा नहीं करता।""","क्या स्वास्थ्य केंद्र पर आपको उच्च रक्तचाप, मधुमेह, या अन्य दीर्घकालिक बीमारियों के प्रबंधन के लिए कोई सहायता मिली है?",,आप अपने ब्यूटी पार्लर में प्राकृतिक और हर्बल उत्पादों का कितना उपयोग करते/करती हैं? क्या आपको किसी विशेष प्राकृतिक उत्पाद से बहुत अच्छे परिणाम मिले हैं?,,,इस रोज़ बदलती दुनिया के बारे में आपके क्या विचार हैं? क्या आपको लगता है कि दुनिया बदल रही है,हिंदी बोलने वाले लोग अपनी पहचान और अपनेपन की भावना व्यक्त करने के लिए अपनी भाषा का उपयोग किस प्रकार करते हैं?,वजन बढ़ाने की कोशिश कर रहे किसी व्यक्ति के लिए आपके गांव में लोकप्रिय घरेलू उपचार क्या हैं?
"क्या आप भुगतान के लिए UPI का उपयोग करने के बारे में जानते हैं? क्या आपने इसका उपयोग किसी लेन-देन के लिए किया है? उदाहरण: ""मैंने पिछले सप्ताह किराने के सामान का भुगतान करने के लिए UPI का उपयोग किया, और यह त्वरित था।""",क्या आपने स्वास्थ्य केंद्र पर किसी अन्य महिला के साथ अपनी प्रसव और मातृत्व देखभाल के अनुभवों को साझा किया है? क्या इससे आपको कोई सहायता या सांत्वना मिली?,,आप अपने ब्यूटी पार्लर में ग्राहकों की विशिष्ट आवश्यकताओं को कैसे समझते/समझती हैं और उन्हें पूरा करने के लिए क्या कदम उठाते/उठाती हैं?,,,आपको किस चीज़ से खुशी मिलती है? और क्यों ?,"हिंदी भाषा के बारे में कुछ आम भ्रांतियां क्या हैं, और इन्हें कैसे दूर किया जा सकता है? (Hints हिंदी भाषा समझने के लिये कठीण हैं, उसका व्याकरण बहूत कठीण हैं ).",वजन कम करने की कोशिश कर रहे लोगों के लिए आपके गांव में लोकप्रिय कुछ घरेलू उपचार क्या हैं?
"डिजिटल बैंकिंग ने आपके व्यवसाय पर कैसे सकारात्मक प्रभाव डाला है? क्या आप अपने अनुभव किए गए विशिष्ट लाभ साझा कर सकते हैं? उदाहरण: ""मुझे ग्राहकों से अब बहुत तेजी से भुगतान मिलता है।""",क्या स्वास्थ्य केंद्र पर आपके बच्चे की वृद्धि और विकास का नियमित रूप से मूल्यांकन किया जाता है? क्या आपको इस संबंध में उचित सलाह और मार्गदर्शन प्राप्त होता है?,,क्या आपके ब्यूटी पार्लर में किसी विशेष मौसम या त्यौहार के दौरान ग्राहकों की संख्या में वृद्धि होती है? आप इस दौरान ग्राहकों की बढ़ती मांग को कैसे मैनेज करते/करती हैं?,,,स्कूल में आपका पसंदीदा विषय क्या था और आपको इसमें मज़ा क्यों आता था?,अपने पूरे इतिहास में हिंदी भाषा अन्य भाषाओं और संस्कृतियों से कैसे प्रभावित हुई है?,वजन बढ़ाने की कोशिश कर रहे किसी व्यक्ति के लिए आपके गांव में लोकप्रिय घरेलू उपचार क्या हैं?
"क्या आपने डिजिटल बैंकिंग के बारे में अपने गाँव के अन्य लोगों से कोई सफलता की कहानियाँ सुनी हैं? इन कहानियों ने आपको कैसे प्रेरित किया? उदाहरण: ""एक पड़ोसी ने मुझे बताया कि कैसे डिजिटल भुगतान ने उसे अपनी दुकान का विस्तार करने में मदद की।""",स्वास्थ्य केंद्र पर मातृत्व देखभाल के लिए कोई विशेष संसाधन या साहित्य उपलब्ध हैं? क्या आपको इनसे लाभ हुआ है?,,आप अपने ब्यूटी पार्लर के कर्मचारियों को कैसे ट्रेनिंग देते/देती हैं और उनके काम की गुणवत्ता को कैसे सुनिश्चित करते/करती हैं?,,,"क्या आप उस बीच की पीढ़ी का हिस्सा हैं जो पुरानी पीढ़ी और युवा पीढ़ी, दोनों के बीच संतुलन बनाए रखने की कोशिश करती है कि वे क्या चाहती हैं? ये दो अलग-अलग दुनियाँ हैं और क्या आप दोनों पीढ़ियों को संभालने के अनुभव, उनमें क्या समानताए हैं और क्या अंतर हैं, उसके बारे में बताएंगे/बताएंगी। (hints - तकनीकी प्रगति, सामाजिक परिवर्तन, बदलती जरूरतें और इच्छाएं)","हिंदी भाषा के कुछ दिलचस्प और अनोखे शब्द या वाक्यांश क्या हैं जो आपको विशेष रूप से दिलचस्प या उल्लेखनीय लगते हैं? (Hints - हात का मैल, नेहेले पे देहला ).",बालों और त्वचा की देखभाल के लिए आपके गाँव में प्रचलित कुछ घरेलू नुस्खे क्या हैं?
"डिजिटल बैंकिंग सेवाओं को और अधिक सुलभ बनाने के लिए आप उनमें क्या बदलाव देखना चाहेंगे? उदाहरण: ""मैं आसान उपयोग के लिए अपनी स्थानीय भाषा में अधिक ऐप्स चाहता हूं।""",क्या आपको अपने स्वास्थ्य केंद्र में गर्भनिरोधक के बारे में सलाह और जानकारी प्राप्त होती है? क्या यह जानकारी आपके लिए उपयोगी रही है?,,क्या आपके ब्यूटी पार्लर में आने वाले ग्राहकों में किसी विशेष आयु वर्ग या समाजिक समूह के लोग अधिक होते हैं? आप इस समूह की आवश्यकताओं को कैसे पूरा करते/करती हैं?,,,,हिंदी बोलने वाले लोग ऐसे अन्य लोगों के साथ बात कैसे करते हैं जो उनकी भाषा नहीं बोलते हैं?,मधुमेह से निपटने के लिए आपके गाँव में प्रचलित कुछ घरेलू उपचार क्या हैं?
"क्या आप डिजिटल बैंकिंग के बारे में कार्यशालाओं में भाग लेने में रुचि लेंगे? आप कौन से विषय सीखना चाहेंगे? उदाहरण: ""मैं अपने बच्चों की शिक्षा के लिए पैसे बचाने और निवेश करने के बारे में सीखना चाहता हूँ।""",क्या आपके स्वास्थ्य केंद्र में महिलाओं के लिए कोई विशेष समर्थन समूह या बैठकें आयोजित की जाती हैं? क्या आपने इनमें भाग लिया है और यह आपके लिए कैसे सहायक रही हैं?,,आपके ब्यूटी पार्लर के काम के दौरान आपने कौन-कौन से नए कौशल सीखे हैं? इन कौशलों ने आपके काम को कैसे प्रभावित किया है?,,,,टेक्नोलॉजी और इंटरनेट का इस्तेमाल बढ़ने से हिंदी भाषा का उपयोग कैसे बदल गया है?,अगर आपके गांव में किसी को सांप काट ले तो आप क्या करेंगे?
"क्या आप डिजिटल बैंकिंग सेवाओं से जुड़ी फीस के बारे में स्पष्ट हैं? अधिक जानकारीपूर्ण महसूस करने के लिए आपको किस जानकारी की आवश्यकता है? उदाहरण: ""मैं जानना चाहता हूं कि पैसे ट्रांसफर करने के लिए मुझसे कितना शुल्क लिया जाएगा।""",क्या स्वास्थ्य केंद्र पर आपकी भाषा और संस्कृति के अनुरूप सेवाएं उपलब्ध हैं? क्या इससे आपकी सेवा अनुभव पर सकारात्मक प्रभाव पड़ा है?,,क्या आपको लगता है कि ब्यूटी पार्लर के काम ने आपके व्यक्तिगत जीवन को भी प्रभावित किया है? इस काम से आपको व्यक्तिगत रूप से क्या फायदा हुआ है?,,,,"हिंदी भाषा को बचाए रखने और प्रमोट करने के लिए क्या कोशिशें की जा रही हैं, और आम लोग इन कोशिशो में कैसे जुड़ सकते हैं? (Hints - हिंदी भाषा का प्रचार और प्रसार करना, उसको बढावा देना.).",अगर आपके गांव में किसी को कुत्ता काट ले तो आप क्या करेंगे?
"आप अपनी बैंकिंग सेवाओं में क्या सुधार देखना चाहेंगे? वर्तमान में आपके सामने सबसे बड़ा मुद्दा क्या है? उदाहरण: ""मेरे गाँव के एटीएम में अक्सर नकदी नहीं होती, जिससे पैसे निकालना मुश्किल हो जाता है।""",क्या स्वास्थ्य केंद्र पर आपको मातृत्व के बाद भी देखभाल और समर्थन मिलता है? यह देखभाल कितनी उपयोगी रही है?,,,,,,,सांप के काटने या कीड़े के काटने जैसे जानवरों के काटने से सुरक्षित रहने के कुछ तरीके क्या हैं?
,क्या आपको लगता है कि आपके स्वास्थ्य केंद्र में महिलाओं के स्वास्थ्य के मुद्दों पर पर्याप्त ध्यान दिया जाता है? आप इसमें और क्या सुधार देखना चाहेंगी?,,,,,,,आपके गांव में खराब एम्बुलेंस कनेक्टिविटी के कारण क्या चुनौतियाँ हैं?
,क्या स्वास्थ्य केंद्र में बच्चे के पहले दो वर्षों में किसी विशिष्ट स्वास्थ्य जांच की आवश्यकता है? क्या आपको इस प्रक्रिया के बारे में जानकारी दी गई?,,,,,,,आपके गाँव के लोग अपने बच्चों को पोलियो से बचाने के लिए क्या करते हैं?
,क्या स्वास्थ्य केंद्र पर किसी आपातकालीन स्थिति में आपकी सहायता के लिए त्वरित और प्रभावी सेवाएं उपलब्ध हैं? क्या आपने कभी इनका उपयोग किया है?,,,,,,,डेंगू बुखार और मलेरिया जैसी मच्छर जनित बीमारियों को रोकने के लिए कौन सी प्रथाओं का पालन किया जाता है?
,क्या आपको अपने स्वास्थ्य केंद्र में परिवार नियोजन के विकल्पों के बारे में जानकारी मिली है? क्या इस जानकारी से आपके निर्णय पर कोई प्रभाव पड़ा है?,,,,,,,यदि आपके गांव में किसी के अंग की हड्डी टूट जाए तो क्या होगा? उपचार और पुनर्प्राप्ति प्रक्रिया क्या है?
,क्या स्वास्थ्य केंद्र में अन्य महिलाओं के साथ स्वास्थ्य संबंधी जानकारी साझा करने के अवसर मिलते हैं? क्या यह अनुभव आपके लिए सहायक रहा है?,,,,,,,आपके गांव में अंत्येष्टि संबंधी कौन-कौन से संस्कार हैं?
,क्या आपने स्वास्थ्य केंद्र पर टीकाकरण के महत्व के बारे में कोई विशेष जानकारी प्राप्त की है? क्या इससे आपके निर्णय पर कोई प्रभाव पड़ा है?,,,,,,,एक नवजात शिशु के पहले वर्ष के दौरान किए जाने वाले विभिन्न संस्कार क्या हैं?
,क्या स्वास्थ्य केंद्र में आप अपने बच्चे की बीमारियों और स्वास्थ्य समस्याओं के बारे में सलाह और उपचार प्राप्त करने में सक्षम हैं?,,,,,,,गर्भावस्था के विभिन्न चरणों के दौरान विभिन्न अनुष्ठान/कार्य क्या हैं?
,,,,,,,,"डिलीवरी के तुरंत बाद आप महिलाओं की देखभाल कैसे करती हैं? माँ और बच्चे के अच्छे स्वास्थ्य को सुनिश्चित करने के लिए कोई विशेष आहार, अभ्यास?"
,,,,,,,,आप नवजात बच्चों की देखभाल कैसे करती हैं? उनके जन्म के पहले वर्ष में उनका आहार पैटर्न क्या है?
,,,,,,,,आपके गाँव में शादियाँ कैसे होती हैं? दोनों परिवारों के बीच पहली मुलाकात कैसे तय होती है और मुलाकात के दौरान क्या होता है?
,,,,,,,,वे कौन-से विभिन्न कारण हैं जिनके कारण आपके गाँव के वृद्ध लोग बिस्तर पर पड़ जाते हैं और उनके परिवार के सदस्य उनकी देखभाल कैसे करते हैं?
,,,,,,,,बचपन में सुनी हुई किसी भूत की कहानी के बारे में बताएं।
,,,,,,,,"यदि आपके पास मवेशी हैं, तो मवेशियों की देखभाल के लिए दिन भर में कौन-कौन सी गतिविधियाँ की जाती हैं?"
,,,,,,,,"यदि आपके पास मवेशी हैं, तो आप नवजात मवेशियों की क्या देखभाल करते हैं?"
,,,,,,,,आप आस-पास के शहरों/गांवों में कितनी बार जाते हैं और किन उद्देश्यों के लिए?
,,,,,,,,क्या आप मुझे बता सकते हैं कि आपके गाँव की महिलाएँ मसाले (लाल मिर्च पाउडर) पीसने के लिए कैसे एकत्रित होती हैं?
,,,,,,,,कपड़े धोने के लिए आप क्या करते हैं और अलग-अलग मौसम में उन्हें कैसे सुखाते हैं? आप यह कैसे सुनिश्चित करते हैं कि आप बहुत सारा पानी बर्बाद न करें?
,,,,,,,,क्या आप प्रेशर कुकर का इस्तेमाल करते हैं या आप खुले बर्तन में पका खाना पसंद करते हैं? तैयारी और/या स्वाद अलग कैसे है?
,,,,,,,,क्या आप अपनी रसोई में मौजूद विभिन्न बर्तनों का वर्णन कर सकते हैं और उनमें से प्रत्येक का उपयोग किस लिए किया जाता है?
,,,,,,,,"रसोई और शौचालय में चूहों, कोकोरोचों आदि के खतरे से बचने के लिए आप क्या करते हैं?"
,,,,,,,,"क्या आपके गांव के लोगों के लिए कर्ज लेना आम बात है? यदि हां, तो किन उद्देश्यों के लिए और वे ऋण के लिए किससे संपर्क करते हैं? आपने ऋण लेने के क्या प्रतिकूल प्रभाव देखे हैं?"
,,,,,,,,आपके गांव में परिवारों के बीच के विवाद कैसे सुलझाए जाते हैं? क्या आप हमें हाल के एक विवाद के बारे में बता सकते हैं और इसे कैसे सुलझाया गया?
,,,,,,,,आपके गाँव के युवाओं के लिए सबसे लोकप्रिय कार्य स्थल कौन सा है? वे किस शहर/कस्बे में प्रवास करते हैं और वे कौन से विशिष्ट कार्य करते हैं?
,,,,,,,,"आप आमतौर पर कहां जाते हैं (काम, मनोरंजन, विश्राम के लिए)"
,,,,,,,,आपके गांव का स्थानीय देवता कौन है? उनकी पूजा में कौन से रीति-रिवाजों का पालन किया जाता है?
,,,,,,,,कुछ अंधविश्वासों के बारे में बताएं जिन पर आप या आपके क्षेत्र के लोग पूरी तरह से विश्वास करते हैं?
,,,,,,,,शहरों में विस्थापित होने के बावजूद आप अभी भी गाँव में रहना क्यों पसंद करते हैं?
,,,,,,,,आप अपने घर में झाडू और पोछा कैसे लगाते हैं? क्या आप अपने घर के फर्श पर गाय के गोबर का प्रयोग करते हैं? क्या आप इसके कोई स्वास्थ्य लाभ जानते हैं?
,,,,,,,,बर्तन धोने की प्रक्रिया को समझाइए? तेल वाले बर्तन को साफ करने के लिए आप किसका प्रयोग करते हैं?
,,,,,,,,"आपके द्वारा पढ़ी गई कुछ पारंपरिक/धार्मिक पुस्तकें/पाठ क्या हैं (उदाहरण के लिए: भागवत गीता, भागवत पुराण, पौराणिक कहानियाँ, कुरान, बाइबिल, गुरुग्रंथ साहिब, प्रवचन आदि) यह आपकी किस तरह मदद करता है? तुमने इससे क्या सीखा?"
,,,,,,,,क्या आप अपने गाँव की किराने की दुकानों का वर्णन कर सकते हैं? वहां क्या-क्या चीजें मिलती हैं? क्या आप सौदेबाजी करते हैं या बाद में भुगतान करते हैं?
,,,,,,,,सब्जी की दुकान पर कौन सी सब्जी मिलती है?
,,,,,,,,लोग शादी में दुल्हन को क्या तोहफा देते हैं? दहेज दिया जाता है?
,,,,,,,,क्या आप अपने गांव के बारे में बात कर सकते हैं और आपको यह क्यों पसंद है?